#phrog,mean_vector_sim,sd_vector_sim,num_sequences
phrog_23056,1.0000005,6.8825514e-08,3
phrog_22348,0.996185,0.0026977214,3
phrog_35634,0.9942508,0.0,2
phrog_14822,0.86331356,0.04702052,6
phrog_25427,0.92070216,0.006171984,3
phrog_4785,0.9251079,0.07352815,28
phrog_11782,0.9345561,0.075125694,9
phrog_1825,0.98761404,0.010469466,83
phrog_31452,0.9870126,0.0,2
phrog_21641,0.9486138,0.044237904,4
phrog_30994,0.9999248,0.0,2
phrog_37023,0.99399155,0.0,2
phrog_38310,0.9935807,0.0,2
phrog_27230,0.9554017,0.007053726,3
phrog_6192,0.9415736,0.028308615,20
phrog_21899,0.91064686,0.057291836,4
phrog_28103,0.9328742,0.0,2
phrog_27556,0.7843158,0.1254199,3
phrog_16953,0.9417508,0.0480368,5
phrog_28665,0.89577353,0.0,2
phrog_37745,1.0000005,0.0,2
phrog_26890,0.99999994,0.0,3
phrog_17495,0.9157505,0.052083284,5
phrog_38476,0.9938478,0.0,2
phrog_20239,0.9569046,0.026863312,4
phrog_8801,0.8977965,0.042363558,13
phrog_21127,0.99999994,0.0,4
phrog_26648,0.9999997,3.4412757e-08,3
phrog_31334,0.882393,0.0,2
phrog_25341,0.840542,0.1099348,3
phrog_15282,0.9563959,0.023893908,6
phrog_35152,0.9142906,0.0,2
phrog_23730,0.9999995,1.1920929e-07,3
phrog_2492,0.8978542,0.074312694,59
phrog_3954,0.9078439,0.06951186,36
phrog_33523,0.8475224,0.0,2
phrog_30002,0.9747135,0.0,2
phrog_20211,0.99928075,0.00046365894,4
phrog_8829,0.96282595,0.026267562,12
phrog_28895,0.990477,0.0,2
phrog_6804,0.96658945,0.02972778,17
phrog_36473,1.0000002,0.0,2
phrog_19490,0.95478255,0.032387525,4
phrog_29553,0.95060915,0.0,2
phrog_18956,0.9689119,0.014464691,4
phrog_26660,0.9763048,0.016755171,3
phrog_25369,0.9044321,0.04151825,3
phrog_32615,0.98459804,0.0,2
phrog_13803,0.98984265,0.01605996,7
phrog_22406,0.9015619,0.060149685,3
phrog_34264,0.86240184,0.0,2
phrog_23718,0.94604087,0.003949514,3
phrog_503,0.85943055,0.11989688,270
phrog_24077,0.9936963,0.00445738,3
phrog_24711,0.96218777,0.014214407,3
phrog_265,0.9777419,0.025800195,452
phrog_4975,0.976372,0.047416877,27
phrog_34502,0.9718102,0.0,2
phrog_22360,0.9982763,0.0009851048,3
phrog_32173,0.96548903,0.0,2
phrog_8197,0.9281961,0.049671408,14
phrog_29235,0.9999998,0.0,2
phrog_26106,0.7775614,0.07150991,3
phrog_21669,0.9046381,0.0953615,4
phrog_36315,1.0000002,0.0,2
phrog_20577,1.0000001,0.0,4
phrog_38338,0.85375166,0.0,2
phrog_11972,0.94853896,0.029628044,8
phrog_9289,0.9999071,0.00014854243,12
phrog_30764,0.99753827,0.0,2
phrog_27218,0.935119,0.01847103,3
phrog_29221,0.9691579,0.0,2
phrog_1819,0.9735498,0.022669738,83
phrog_8183,0.9607443,0.033579305,14
phrog_26112,0.9971466,0.0020176398,3
phrog_36301,0.9821644,0.0,2
phrog_20563,0.97788715,0.022113323,4
phrog_11966,0.9967306,0.002418686,8
phrog_30770,0.98188245,0.0,2
phrog_271,0.88159317,0.06682218,446
phrog_24705,0.9638696,0.014158199,3
phrog_33279,0.9326346,0.0,2
phrog_34516,0.9714228,0.0,2
phrog_4961,0.9363502,0.050289024,27
phrog_35608,0.99999976,0.0,2
phrog_22374,0.9859071,0.009965088,3
phrog_32167,0.94039524,0.0,2
phrog_32601,0.91559345,0.0,2
phrog_13817,0.90655935,0.039041806,7
phrog_22412,0.93881804,0.015476285,3
phrog_34270,0.97550046,0.0,2
phrog_24063,0.83718055,0.10344254,3
phrog_517,0.8420008,0.093965776,262
phrog_3968,0.9351221,0.035331197,35
phrog_30016,1.0,0.0,2
phrog_28659,1.0,0.0,2
phrog_20205,0.9824893,0.009121848,4
phrog_37779,0.9999997,0.0,2
phrog_28881,0.9999998,0.0,2
phrog_19484,0.929626,0.027879203,4
phrog_36467,0.98012257,0.0,2
phrog_6810,0.9612071,0.031716608,17
phrog_29547,1.0000001,0.0,2
phrog_31308,0.999146,0.0,2
phrog_26674,0.9358637,0.04497907,3
phrog_18942,0.99550635,0.0016666714,4
phrog_11033,0.996681,0.0029685833,9
phrog_27581,0.8111191,0.06974088,3
phrog_6623,0.9977507,0.004373883,18
phrog_9510,0.9514471,0.023248237,11
phrog_16984,0.99385977,0.004420182,5
phrog_26847,0.98176193,0.012896107,3
phrog_37792,0.9808361,0.0,2
phrog_18771,0.80595356,0.09806961,4
phrog_17442,1.0000004,1.1920929e-07,5
phrog_32832,0.99999976,0.0,2
phrog_2445,0.96040577,0.0573606,60
phrog_3983,0.903599,0.052607402,35
phrog_13624,0.9362184,0.097572826,7
phrog_24088,0.9795389,0.0128394235,3
phrog_25396,0.6894464,0.023633607,3
phrog_4034,0.9657366,0.04542958,35
phrog_15255,0.8856062,0.09091228,6
phrog_35185,0.9935597,0.0,2
phrog_15533,0.9125633,0.11673284,6
phrog_24936,0.9955316,0.00025005895,3
phrog_4752,0.5938769,0.27485445,28
phrog_33292,0.99955815,0.0,2
phrog_13142,0.85879105,0.06832635,7
phrog_23081,0.97135645,0.020040756,3
phrog_2323,0.7906757,0.18289071,64
phrog_18017,0.9168762,0.083974145,5
phrog_17324,0.9085984,0.033323042,5
phrog_20588,0.989557,0.0041244808,4
phrog_6145,0.98497975,0.022776501,20
phrog_9276,0.9760036,0.030602029,12
phrog_11755,0.9521791,0.032049555,9
phrog_31485,0.71125376,0.0,2
phrog_8168,0.9467755,0.029447017,14
phrog_19309,1.0000004,0.0,4
phrog_30943,0.98102045,0.0,2
phrog_21696,0.91727895,0.041809384,4
phrog_18003,0.951561,0.028714268,5
phrog_11999,0.95475465,0.04357007,8
phrog_17330,0.9982195,0.0021801011,5
phrog_6151,0.98117197,0.02433216,20
phrog_9262,0.8878815,0.051206112,12
phrog_11741,0.96812373,0.01673171,9
phrog_31491,0.99999964,0.0,2
phrog_21682,0.7609058,0.1477175,4
phrog_30957,0.9999999,0.0,2
phrog_3029,0.9237086,0.13341942,47
phrog_15527,0.9036744,0.053068753,6
phrog_24922,1.0,6.8825514e-08,3
phrog_32198,0.95224404,0.0,2
phrog_12248,0.85881865,0.094267376,8
phrog_4746,0.9487154,0.024484294,28
phrog_33286,0.51717454,0.0,2
phrog_5458,0.93959486,0.040642325,24
phrog_13156,0.96238536,0.02618128,7
phrog_14639,0.9253917,0.046267953,7
phrog_2337,0.94908917,0.035406757,64
phrog_23095,0.9845269,0.010940985,3
phrog_2451,0.943009,0.043085612,60
phrog_32826,0.9619359,0.0,2
phrog_3997,0.998548,0.002829718,35
phrog_13630,0.9910082,0.004962769,7
phrog_4020,0.93469936,0.038888738,35
phrog_25382,1.0000001,0.0,3
phrog_15241,0.9681453,0.012362968,6
phrog_35191,0.83283466,0.0,2
phrog_36498,1.0000002,0.0,2
phrog_16748,0.9352231,0.030164266,5
phrog_11027,0.99965763,0.0003110113,9
phrog_7529,0.96991056,0.02279194,16
phrog_6637,0.77975315,0.16442528,18
phrog_10339,0.9999998,5.9604645e-08,10
phrog_27595,0.8738468,0.0805592,3
phrog_16990,0.98313063,0.010824394,5
phrog_9504,0.9610413,0.02906781,11
phrog_18765,0.76518744,0.13081379,4
phrog_37786,0.9999999,0.0,2
phrog_26853,0.9642394,0.017195195,3
phrog_17456,0.9273265,0.049896788,5
phrog_1158,0.8533476,0.11679327,130
phrog_14177,0.9613126,0.025288347,7
phrog_2479,0.9477592,0.0461989,59
phrog_5316,0.88633764,0.0778918,24
phrog_13618,1.0000002,0.0,7
phrog_12506,0.92516506,0.05466131,8
phrog_4008,0.9589257,0.027722152,35
phrog_23903,0.94641167,0.017137138,3
phrog_3767,0.9149121,0.05929896,38
phrog_15269,0.94090474,0.058180556,6
phrog_16760,0.9968748,0.002414141,5
phrog_28856,0.99109125,0.0,2
phrog_19453,0.9834425,0.010795573,4
phrog_29590,0.9556878,0.0,2
phrog_8632,0.9468149,0.0586178,13
phrog_7501,0.99999994,1.7881393e-07,16
phrog_18995,0.91098624,0.050185967,4
phrog_37976,0.9972731,0.0,2
phrog_10311,0.9659273,0.019488305,10
phrog_1170,0.98132944,0.036931947,129
phrog_17318,0.9229881,0.051066246,5
phrog_1616,0.9960965,0.014458402,93
phrog_21872,0.9516015,0.024286889,4
phrog_6179,0.8945025,0.068537384,20
phrog_10477,0.8530806,0.074444756,10
phrog_8154,0.97811216,0.016927496,14
phrog_11769,0.85735184,0.102479294,9
phrog_7267,0.926212,0.05363931,16
phrog_16006,0.97288597,0.0273377,6
phrog_19335,0.8722555,0.06787472,4
phrog_3001,0.8867653,0.14276676,48
phrog_12260,0.95522565,0.029230503,8
phrog_5470,0.89220184,0.084836476,24
phrog_35807,0.93583596,0.0,2
phrog_14611,0.9447131,0.05798515,7
phrog_3015,0.9457918,0.05174107,48
phrog_12274,0.7890014,0.16753331,8
phrog_35813,0.9418429,0.0,2
phrog_5464,0.9841831,0.015957534,24
phrog_14605,0.83392704,0.09324377,7
phrog_1602,0.99438065,0.0045830775,93
phrog_21866,0.8542349,0.075205885,4
phrog_10463,0.99285614,0.0030819261,10
phrog_8140,0.9576637,0.047332704,14
phrog_7273,0.9900524,0.007891307,16
phrog_16012,0.9870712,0.011416529,6
phrog_19321,0.91158444,0.030175876,4
phrog_28842,0.7600213,0.0,2
phrog_16774,0.9722544,0.023848873,5
phrog_19447,0.9216308,0.03820645,4
phrog_8626,0.9218181,0.05249232,13
phrog_29584,1.0000001,0.0,2
phrog_37962,0.9763673,0.0,2
phrog_18981,1.0000001,1.1920929e-07,4
phrog_7515,0.99989647,0.00027374589,16
phrog_9538,0.84569305,0.09243863,11
phrog_10305,0.9558715,0.03413605,10
phrog_38489,0.9999999,0.0,2
phrog_1164,0.9800639,0.022411209,129
phrog_18759,0.936719,0.036990616,4
phrog_14163,0.97154653,0.023010949,7
phrog_5302,0.923106,0.052664526,24
phrog_12512,0.97015077,0.02152126,8
phrog_23917,0.9825533,0.0042311195,3
phrog_3773,0.9394227,0.046754073,38
phrog_25631,0.960293,0.026767317,3
phrog_4593,0.97894174,0.024650201,29
phrog_5855,0.9190782,0.05328367,22
phrog_35422,0.9999999,0.0,2
phrog_23240,0.933723,0.04686485,3
phrog_13383,0.96706074,0.016306603,7
phrog_33053,0.9526648,0.0,2
phrog_28315,0.98627496,0.0,2
phrog_27026,1.0000002,0.0,3
phrog_6384,0.8461173,0.11087144,19
phrog_38106,0.9999999,0.0,2
phrog_20749,0.9996188,0.0003810525,4
phrog_37235,1.0000001,0.0,2
phrog_21457,0.9823303,0.01012362,4
phrog_10852,0.99753517,0.002464576,9
phrog_20991,0.98675567,0.007962822,4
phrog_31644,0.9992137,0.0,2
phrog_11594,0.9747505,0.033971693,9
phrog_26338,0.9990697,0.00065779994,3
phrog_31122,1.0000002,0.0,2
phrog_9909,0.9158947,0.07799979,11
phrog_21331,0.9349819,0.06501785,4
phrog_27998,0.99868596,0.0,2
phrog_38660,0.99300385,0.0,2
phrog_17683,0.999794,0.0002522313,5
phrog_7924,0.795956,0.13514587,14
phrog_37553,0.93687946,0.0,2
phrog_28473,0.9013802,0.0,2
phrog_19876,0.99444896,0.0039251503,4
phrog_36895,0.97763765,0.0,2
phrog_27740,0.99945116,0.0003880179,3
phrog_24249,0.9814276,0.012921156,3
phrog_33735,0.9236263,0.0,2
phrog_12923,0.99914634,0.00064886233,8
phrog_23526,0.7593608,0.17015773,3
phrog_2684,0.94291097,0.026275298,53
phrog_35344,0.97258055,0.0,2
phrog_15094,0.96498924,0.022726713,6
phrog_22638,0.9887139,0.0061277044,3
phrog_25157,0.8817196,0.082016185,3
phrog_729,0.7970023,0.28507254,195
phrog_33721,0.959725,0.0,2
phrog_12937,0.9880393,0.007873251,8
phrog_2690,0.9336878,0.09239876,53
phrog_23532,0.9577181,0.011729278,3
phrog_35350,0.99999976,0.0,2
phrog_15080,0.9885341,0.005043433,6
phrog_25143,0.95000273,0.01874454,3
phrog_2848,0.97106725,0.039702054,50
phrog_31136,0.902817,0.0,2
phrog_29779,0.9665232,0.0,2
phrog_16589,0.75808334,0.20080222,6
phrog_21325,1.0000004,0.0,4
phrog_36659,0.99977344,0.0,2
phrog_1399,0.89280045,0.07674734,106
phrog_17697,0.9234955,0.059771266,5
phrog_38674,0.9893184,0.0,2
phrog_37547,0.9666245,0.0,2
phrog_7930,0.6630169,0.2749242,14
phrog_28467,1.0000002,0.0,2
phrog_30228,1.0000002,0.0,2
phrog_27754,0.9713103,0.012306469,3
phrog_36881,0.9999998,0.0,2
phrog_19862,0.9611692,0.015985604,4
phrog_28301,0.9735579,0.0,2
phrog_6390,0.98793644,0.013390558,19
phrog_27032,0.98629254,0.004925341,3
phrog_31888,0.93163854,0.0,2
phrog_38112,0.99999964,0.0,2
phrog_37221,0.99780846,0.0,2
phrog_21443,0.91179925,0.0146069955,4
phrog_10846,0.97231716,0.051789604,9
phrog_31650,1.0000002,0.0,2
phrog_20985,0.9981734,0.0018267035,4
phrog_11580,0.958966,0.030874185,9
phrog_4587,0.9516851,0.049943924,30
phrog_12089,0.92957985,0.038847197,8
phrog_25625,0.999717,0.00020011324,3
phrog_32359,0.9598173,0.0,2
phrog_35436,0.9904347,0.0,2
phrog_5841,0.9185109,0.053843968,22
phrog_34728,0.92349076,0.0,2
phrog_23254,0.99999994,0.0,3
phrog_13397,0.98063767,0.020356147,7
phrog_5699,0.97534245,0.019238738,22
phrog_33047,0.8960247,0.0,2
phrog_30566,0.97632986,0.0,2
phrog_28329,1.0,0.0,2
phrog_37209,0.9831885,0.0,2
phrog_20775,0.9382829,0.027977668,4
phrog_36117,0.99755716,0.0,2
phrog_26304,0.95263225,0.029766293,3
phrog_29037,1.0,0.0,2
phrog_8395,0.99532974,0.004745474,13
phrog_31678,0.96459395,0.0,2
phrog_32371,0.9163873,0.0,2
phrog_22162,0.9914445,0.0014126257,3
phrog_5869,0.6953879,0.2353154,21
phrog_34700,0.9999999,0.0,2
phrog_15916,0.9800749,0.028178424,6
phrog_24513,0.94831115,0.023857811,3
phrog_33709,1.0,0.0,2
phrog_24275,0.9778741,0.015645472,3
phrog_701,0.9861906,0.02103913,202
phrog_34066,0.9745161,0.0,2
phrog_22604,0.91269875,0.060106546,3
phrog_35378,0.98890305,0.0,2
phrog_32417,1.0000006,0.0,2
phrog_2860,0.82518137,0.1874757,50
phrog_26462,0.96613413,0.02377449,3
phrog_29751,0.9960331,0.0,2
phrog_17867,0.8241142,0.1174685,5
phrog_36671,0.9999993,0.0,2
phrog_19692,0.9235432,0.029878031,4
phrog_9935,0.972427,0.021667404,11
phrog_7918,0.9817298,0.015227972,14
phrog_29989,0.9972374,0.0,2
phrog_20013,0.99999994,5.9604645e-08,4
phrog_30200,0.9408159,0.0,2
phrog_26476,0.9996765,0.0002286888,3
phrog_17873,0.7663318,0.05044034,5
phrog_29745,0.9991299,0.0,2
phrog_19686,0.9711749,0.020544354,4
phrog_36665,0.9295775,0.0,2
phrog_9921,0.99630296,0.004201884,11
phrog_21319,0.77207327,0.1611685,4
phrog_18598,0.9921509,0.0059170364,5
phrog_20007,0.91118866,0.05065653,4
phrog_38648,1.0000004,0.0,2
phrog_27768,0.97983664,0.008296779,3
phrog_30214,0.9934197,0.0,2
phrog_715,0.8428876,0.14670195,198
phrog_24261,0.9325602,0.04240089,3
phrog_34072,1.0000002,0.0,2
phrog_22610,0.92561054,0.030011991,3
phrog_2874,0.91066086,0.08750595,50
phrog_32403,0.99716496,0.0,2
phrog_32365,0.98131126,0.0,2
phrog_25619,0.88075686,0.06265905,3
phrog_22176,0.9365942,0.006076019,3
phrog_23268,0.9949768,0.0026329858,3
phrog_34714,0.99906677,0.0,2
phrog_15902,0.9275217,0.050568055,6
phrog_24507,0.9999998,5.9604645e-08,3
phrog_30572,0.9746065,0.0,2
phrog_20761,1.0000001,1.1920929e-07,4
phrog_36103,0.9999998,0.0,2
phrog_26310,0.98416257,0.0045822337,3
phrog_8381,0.95271623,0.062365193,13
phrog_29023,1.0000002,0.0,2
phrog_16238,0.99999994,3.0779706e-08,6
phrog_21494,0.99999994,5.9604645e-08,4
phrog_10891,0.94254506,0.06462778,9
phrog_20952,0.9917193,0.008280396,4
phrog_31687,0.98046744,0.0,2
phrog_7059,0.9794332,0.018965073,17
phrog_11557,0.9034711,0.046520576,9
phrog_30599,0.8825964,0.0,2
phrog_9074,0.91837233,0.046133112,12
phrog_10649,1.0,8.885336e-09,10
phrog_6347,0.99261653,0.019504603,19
phrog_1428,0.9965986,0.006057828,104
phrog_17126,0.8056418,0.13385071,5
phrog_18215,0.99497664,0.003362304,5
phrog_2121,0.875227,0.101956494,71
phrog_23283,0.98957056,0.007374743,3
phrog_13340,1.0,3.1860022e-08,7
phrog_33090,0.9799609,0.0,2
phrog_4550,0.87006193,0.096208036,30
phrog_34927,1.0000002,0.0,2
phrog_5896,0.99291736,0.0054604425,21
phrog_15731,0.92946035,0.045999967,6
phrog_35387,0.95750654,0.0,2
phrog_926,0.9320805,0.04813273,158
phrog_15057,1.0000001,2.787221e-07,6
phrog_3559,0.9989541,0.0009493734,40
phrog_4236,0.97043735,0.026682742,33
phrog_12738,0.98574597,0.012704365,8
phrog_25194,0.93054837,0.029025199,3
phrog_13426,0.9394146,0.041150827,7
phrog_5128,0.96735007,0.026521971,26
phrog_22823,0.97447133,0.018051328,3
phrog_34099,0.99917704,0.0,2
phrog_2647,0.9850127,0.024606656,54
phrog_14349,0.9806954,0.010229703,7
phrog_17640,0.89954776,0.046530787,5
phrog_29976,0.99800754,0.0,2
phrog_37590,0.8739169,0.0,2
phrog_18573,0.99139416,0.0048944447,5
phrog_9712,0.9692438,0.025706831,11
phrog_6421,0.9789591,0.015587438,19
phrog_36856,0.9999997,0.0,2
phrog_27783,0.63247025,0.2110441,3
phrog_17898,1.0,7.5394574e-08,5
phrog_11231,0.87290454,0.081334494,9
phrog_29962,0.9999999,0.0,2
phrog_17654,0.93039834,0.04290693,5
phrog_18567,0.9662325,0.038318064,5
phrog_37584,0.9852147,0.0,2
phrog_9706,0.9169828,0.070888124,11
phrog_27797,0.9753192,0.009730151,3
phrog_36842,0.99145824,0.0,2
phrog_6435,0.96188086,0.028010802,19
phrog_8418,0.7968487,0.17391084,13
phrog_11225,0.9117739,0.06375518,9
phrog_26489,0.8968038,0.034991354,3
phrog_19679,0.8582399,0.08889717,4
phrog_932,0.92682546,0.052252978,157
phrog_35393,0.9999997,0.0,2
phrog_15043,1.0,0.0,6
phrog_25180,0.9999997,4.866699e-08,3
phrog_4222,0.9697654,0.016985916,33
phrog_13432,0.99828273,0.0022333649,7
phrog_22837,0.97981316,0.007548882,3
phrog_2653,0.9046459,0.09132383,54
phrog_23297,0.9998556,0.00010209375,3
phrog_2135,0.98068804,0.010287171,71
phrog_13354,0.9878262,0.009337543,7
phrog_33084,0.7752025,0.0,2
phrog_34933,0.7914983,0.0,2
phrog_4544,0.90444183,0.07097525,30
phrog_5882,0.8950656,0.09869113,21
phrog_15725,0.95531404,0.054425206,6
phrog_22189,0.96853834,0.011690398,3
phrog_21480,1.0000005,0.0,4
phrog_10885,0.9806833,0.02782962,9
phrog_31693,0.9961022,0.0,2
phrog_20946,0.91841656,0.03928244,4
phrog_11543,0.9428076,0.026126582,9
phrog_9060,0.9967367,0.0037750981,12
phrog_6353,0.8612423,0.15116055,19
phrog_17132,0.9977051,0.0028105623,5
phrog_18201,0.997791,0.0027057922,5
phrog_14413,1.0,0.0,7
phrog_25816,0.9929772,0.004965348,3
phrog_5672,0.932471,0.044765476,23
phrog_12062,0.9700863,0.016145937,8
phrog_3203,0.9197554,0.098278776,45
phrog_19137,0.957241,0.027527975,4
phrog_16204,0.9903288,0.013677304,6
phrog_7065,0.95569,0.037567534,17
phrog_8356,0.9101485,0.050364997,13
phrog_10675,0.7693934,0.105226904,10
phrog_9048,0.92702115,0.034487795,12
phrog_18229,0.9876664,0.0049806805,5
phrog_31863,0.92151856,0.0,2
phrog_1414,0.8983099,0.066841334,105
phrog_1372,0.9058857,0.060639523,108
phrog_10113,0.84517324,0.12030557,10
phrog_19889,0.98944825,0.010551602,4
phrog_7703,0.88386047,0.14227016,15
phrog_8430,0.7975555,0.14066473,13
phrog_29792,0.9993988,0.0,2
phrog_38847,0.9392594,0.0,2
phrog_27967,0.93275553,0.0,2
phrog_19651,0.995316,0.002118207,4
phrog_16562,0.9761027,0.017911082,6
phrog_33912,0.97404563,0.0,2
phrog_3565,0.98364437,0.03150883,40
phrog_12704,0.99999994,0.0,8
phrog_5114,0.99509513,0.009321328,26
phrog_14375,0.9559781,0.03797453,7
phrog_3571,0.99810916,0.0043403185,40
phrog_33906,0.9817616,0.0,2
phrog_12710,0.88498974,0.06073167,8
phrog_5100,0.9672021,0.039588086,26
phrog_14361,0.9498162,0.027008092,7
phrog_1366,0.7704217,0.13540627,109
phrog_17668,0.9985393,0.0011925943,5
phrog_10107,0.9542662,0.030337451,10
phrog_6409,0.9302056,0.09617745,19
phrog_28498,0.9914167,0.0,2
phrog_7717,0.9616471,0.042914648,15
phrog_11219,0.9987594,0.0015552025,9
phrog_38853,0.9993526,0.0,2
phrog_29786,0.9999995,0.0,2
phrog_8424,0.9473845,0.039251085,13
phrog_19645,0.9585221,0.021562159,4
phrog_27973,1.0000001,0.0,2
phrog_16576,0.96902317,0.026614176,6
phrog_19123,0.851216,0.099944934,4
phrog_16210,0.9779774,0.010116842,6
phrog_7071,0.89940643,0.09003404,17
phrog_8342,0.9716426,0.03974128,13
phrog_10661,0.9995491,0.0009009911,10
phrog_1400,0.9508407,0.036187988,106
phrog_31877,0.9999999,0.0,2
phrog_2109,0.9573459,0.023722641,71
phrog_14407,0.96365273,0.028844843,7
phrog_25802,0.9184234,0.057683513,3
phrog_13368,0.98514473,0.009029947,7
phrog_5666,0.9767961,0.020847064,23
phrog_4578,0.8711185,0.069036335,30
phrog_12076,0.85019976,0.062002,8
phrog_15719,0.9960127,0.0056388183,6
phrog_3217,0.99986064,0.00013624257,45
phrog_33127,0.9999999,0.0,2
phrog_34648,1.0000002,0.0,2
phrog_2096,0.982539,0.01820638,72
phrog_14598,0.9801552,0.01374177,7
phrog_23334,0.9903054,0.0060623195,3
phrog_35556,0.97228044,0.0,2
phrog_5921,0.96611184,0.02444447,21
phrog_15686,0.9699182,0.02243639,6
phrog_3388,0.99826324,0.0043952363,42
phrog_34890,0.9949527,0.0,2
phrog_25745,0.9557583,0.03101786,3
phrog_32239,0.9948696,0.0,2
phrog_31730,0.9153832,0.0,2
phrog_21523,0.9993861,0.0005114684,4
phrog_10926,0.9999999,5.9604645e-08,9
phrog_17091,0.96589726,0.04176771,5
phrog_38072,0.9999999,0.0,2
phrog_37341,0.99999994,0.0,2
phrog_28261,0.99829787,0.0,2
phrog_27152,0.9158077,0.05035974,3
phrog_28507,0.96755165,0.0,2
phrog_30348,0.99926966,0.0,2
phrog_10098,0.9806851,0.0125387665,10
phrog_6596,0.797173,0.13943149,18
phrog_27634,1.0,9.733398e-08,3
phrog_19902,0.95597667,0.044023544,4
phrog_38714,1.0000001,0.0,2
phrog_37427,0.91105425,0.0,2
phrog_7850,0.94345427,0.047723766,15
phrog_21245,1.0000001,0.0,4
phrog_36739,1.0,0.0,2
phrog_31056,0.6974049,0.0,2
phrog_29619,0.9488653,0.0,2
phrog_7688,0.8799603,0.07584583,15
phrog_11386,0.9628499,0.026058752,9
phrog_4381,0.95650136,0.043552272,31
phrog_25023,0.9063397,0.004884692,3
phrog_2928,0.93671155,0.039401807,49
phrog_35230,0.99466825,0.0,2
phrog_891,0.8270254,0.080180764,162
phrog_33899,0.9999998,0.0,2
phrog_12857,0.9015256,0.083907545,8
phrog_23452,0.9195997,0.0117238695,3
phrog_649,0.8973553,0.06427736,216
phrog_13591,0.9884234,0.006739546,7
phrog_22994,1.0,4.866699e-08,3
phrog_33641,0.99978256,0.0,2
phrog_25037,0.9931051,0.0048753787,3
phrog_4395,0.9823084,0.034475453,31
phrog_885,0.9603104,0.043641802,163
phrog_35224,0.944505,0.0,2
phrog_22758,0.94571155,0.018995035,3
phrog_12843,0.95609677,0.034597058,8
phrog_23446,0.9111657,0.026145475,3
phrog_13585,0.94920504,0.050966334,7
phrog_24329,1.0,4.866699e-08,3
phrog_33655,0.99770224,0.0,2
phrog_22980,1.0000004,6.8825514e-08,3
phrog_28513,0.9255163,0.0,2
phrog_19916,0.984163,0.0070446534,4
phrog_27620,0.991914,0.005717754,3
phrog_6582,0.8576537,0.074495636,18
phrog_38700,0.9119523,0.0,2
phrog_7844,0.9861758,0.022694644,15
phrog_37433,0.8595055,0.0,2
phrog_21251,0.7625362,0.119399294,4
phrog_9869,0.6586663,0.24732013,11
phrog_31042,0.9884046,0.0,2
phrog_11392,0.9967145,0.002702361,9
phrog_31724,0.9983494,0.0,2
phrog_26258,0.9874467,0.005943981,3
phrog_21537,0.9999287,7.1167946e-05,4
phrog_10932,0.9695853,0.023494158,9
phrog_38066,0.92530984,0.0,2
phrog_17085,0.9862709,0.011072699,5
phrog_20629,0.85218984,0.040275745,4
phrog_37355,0.9218252,0.0,2
phrog_28275,0.97461,0.0,2
phrog_27146,0.9999997,5.9604645e-08,3
phrog_33133,0.96938574,0.0,2
phrog_25989,0.93815947,0.010687137,3
phrog_23320,0.94175357,0.029848734,3
phrog_2082,0.96995664,0.037775174,72
phrog_5935,0.86163175,0.1940628,21
phrog_35542,0.98136234,0.0,2
phrog_15692,0.978995,0.018397296,6
phrog_25751,0.95725423,0.01984063,3
