cluster,predicted_category,model_score,model_std
NODE_1011_length_25910_cov_20.500793_1,unknown,0.91243225,0.043056733906269073
NODE_1011_length_25910_cov_20.500793_10,unknown,0.9979039,0.0006264707772061229
NODE_1011_length_25910_cov_20.500793_12,unknown,0.88799113,0.0
NODE_1011_length_25910_cov_20.500793_14,unknown,0.63590455,0.2031417042016983
NODE_1011_length_25910_cov_20.500793_15,unknown,0.96099424,0.015219924040138721
NODE_1011_length_25910_cov_20.500793_18,unknown,0.9748001,0.016500428318977356
NODE_1011_length_25910_cov_20.500793_21,unknown,0.9911122,0.0043217940255999565
NODE_1011_length_25910_cov_20.500793_22,unknown,0.8767574,0.0
NODE_1011_length_25910_cov_20.500793_26,unknown,0.9332668,0.0
NODE_1011_length_25910_cov_20.500793_6,unknown,0.96242136,
NODE_1011_length_25910_cov_20.500793_7,unknown,0.92395663,0.07928460091352463
NODE_1011_length_25910_cov_20.500793_8,unknown,0.9563165,0.022484704852104187
NODE_1016_length_53015_cov_3.398659_1,"moron, auxiliary metabolic gene and host takeover",0.6948231,0.20731037855148315
NODE_1016_length_53015_cov_3.398659_13,"DNA, RNA and nucleotide metabolism",0.9891294,0.017256539314985275
NODE_1016_length_53015_cov_3.398659_14,"DNA, RNA and nucleotide metabolism",0.99209994,0.006827759090811014
NODE_1016_length_53015_cov_3.398659_2,unknown,0.9482293,2.107342425006209e-07
NODE_1016_length_53015_cov_3.398659_20,tail,0.9019702,
NODE_1016_length_53015_cov_3.398659_21,tail,0.55390996,
NODE_1016_length_53015_cov_3.398659_23,tail,0.8046662,
NODE_1016_length_53015_cov_3.398659_3,"DNA, RNA and nucleotide metabolism",0.5287158,0.23488429188728333
NODE_1016_length_53015_cov_3.398659_31,unknown,0.9643332,0.00473177433013916
NODE_1016_length_53015_cov_3.398659_32,head and packaging,0.5351274,0.03217301145195961
NODE_1016_length_53015_cov_3.398659_33,unknown,0.8779632,0.024126172065734863
NODE_1016_length_53015_cov_3.398659_36,head and packaging,0.44541493,
NODE_1016_length_53015_cov_3.398659_37,tail,0.7845506,
NODE_1016_length_53015_cov_3.398659_38,unknown,0.9820355,0.00811949372291565
NODE_1016_length_53015_cov_3.398659_4,lysis,0.7072522,1.1920928955078125e-07
NODE_1016_length_53015_cov_3.398659_40,connector,0.99734414,0.0006658732891082764
NODE_1016_length_53015_cov_3.398659_42,tail,0.9993753,
NODE_1016_length_53015_cov_3.398659_43,unknown,0.6608517,0.11364999413490295
NODE_1016_length_53015_cov_3.398659_44,unknown,0.9755816,0.009239139035344124
NODE_1016_length_53015_cov_3.398659_45,unknown,0.3615682,
NODE_1016_length_53015_cov_3.398659_46,tail,0.98956025,
NODE_1016_length_53015_cov_3.398659_47,tail,0.9715148,
NODE_1016_length_53015_cov_3.398659_48,head and packaging,0.66542345,
NODE_1016_length_53015_cov_3.398659_49,unknown,0.9639631,
NODE_1016_length_53015_cov_3.398659_5,unknown,0.9995165,5.561113357543945e-05
NODE_1016_length_53015_cov_3.398659_50,unknown,0.94287723,
NODE_1016_length_53015_cov_3.398659_51,unknown,0.94573855,
NODE_1016_length_53015_cov_3.398659_52,unknown,0.98619616,
NODE_1016_length_53015_cov_3.398659_6,unknown,0.99965954,0.0
NODE_1016_length_53015_cov_3.398659_9,unknown,0.9619513,0.02541319653391838
NODE_101_length_107230_cov_4.211327_11,unknown,0.9937947,
NODE_101_length_107230_cov_4.211327_12,unknown,0.9949852,
NODE_101_length_107230_cov_4.211327_13,unknown,0.88282514,
NODE_101_length_107230_cov_4.211327_19,"moron, auxiliary metabolic gene and host takeover",0.6565623,
NODE_101_length_107230_cov_4.211327_2,"DNA, RNA and nucleotide metabolism",0.42388606,0.25533297657966614
NODE_101_length_107230_cov_4.211327_20,unknown,0.41922742,0.21934355795383453
NODE_101_length_107230_cov_4.211327_21,unknown,0.94262457,
NODE_101_length_107230_cov_4.211327_22,unknown,0.9704828,
NODE_101_length_107230_cov_4.211327_23,unknown,0.84161997,
NODE_101_length_107230_cov_4.211327_24,unknown,0.90199584,
NODE_101_length_107230_cov_4.211327_25,unknown,0.8484379,
NODE_101_length_107230_cov_4.211327_28,unknown,0.995092,0.004143098834902048
NODE_101_length_107230_cov_4.211327_3,unknown,0.9783044,
NODE_101_length_107230_cov_4.211327_30,tail,0.8922807,
NODE_101_length_107230_cov_4.211327_31,unknown,0.39307585,
NODE_101_length_107230_cov_4.211327_32,unknown,0.50791013,
NODE_101_length_107230_cov_4.211327_33,tail,0.6246139,
NODE_101_length_107230_cov_4.211327_34,tail,0.5983224,
NODE_101_length_107230_cov_4.211327_35,tail,0.9909345,0.0030027031898498535
NODE_101_length_107230_cov_4.211327_38,unknown,0.9283092,0.037643153220415115
NODE_101_length_107230_cov_4.211327_39,tail,0.999807,3.534555435180664e-05
NODE_101_length_107230_cov_4.211327_4,unknown,0.9980045,
NODE_101_length_107230_cov_4.211327_41,unknown,0.5088598,0.18597939610481262
NODE_101_length_107230_cov_4.211327_43,tail,0.95604503,0.013685226440429688
NODE_101_length_107230_cov_4.211327_48,unknown,0.9824747,0.015357006341218948
NODE_101_length_107230_cov_4.211327_50,unknown,0.50022966,
NODE_101_length_107230_cov_4.211327_51,head and packaging,0.48744464,
NODE_101_length_107230_cov_4.211327_52,head and packaging,0.570469,0.04856041073799133
NODE_101_length_107230_cov_4.211327_53,unknown,0.183855,0.09610895067453384
NODE_101_length_107230_cov_4.211327_54,unknown,0.72399426,0.03948860242962837
NODE_101_length_107230_cov_4.211327_55,tail,0.9035923,0.02413126640021801
NODE_101_length_107230_cov_4.211327_56,head and packaging,0.46735156,0.13253730535507202
NODE_101_length_107230_cov_4.211327_65,unknown,0.91775066,0.07597711682319641
NODE_101_length_107230_cov_4.211327_67,"moron, auxiliary metabolic gene and host takeover",0.9939835,0.0048680733889341354
NODE_101_length_107230_cov_4.211327_68,unknown,0.56902117,0.09681263566017151
NODE_101_length_107230_cov_4.211327_69,"moron, auxiliary metabolic gene and host takeover",0.95475054,0.016163859516382217
NODE_101_length_107230_cov_4.211327_7,other,0.99961144,0.00018330267630517483
NODE_101_length_107230_cov_4.211327_72,unknown,0.95789796,0.02265463024377823
NODE_101_length_107230_cov_4.211327_73,unknown,0.4841373,0.20487132668495178
NODE_101_length_107230_cov_4.211327_74,unknown,0.9999425,2.0395213141455315e-05
NODE_101_length_107230_cov_4.211327_75,unknown,0.6631404,
NODE_101_length_107230_cov_4.211327_76,"DNA, RNA and nucleotide metabolism",0.99978036,
NODE_101_length_107230_cov_4.211327_79,unknown,0.726413,0.15580041706562042
NODE_101_length_107230_cov_4.211327_8,"DNA, RNA and nucleotide metabolism",0.99101067,0.020249800756573677
NODE_101_length_107230_cov_4.211327_80,unknown,0.9676671,0.04376371577382088
NODE_101_length_107230_cov_4.211327_81,unknown,0.9899075,0.0038535508792847395
NODE_101_length_107230_cov_4.211327_85,unknown,0.9985751,
NODE_101_length_107230_cov_4.211327_88,unknown,0.9067128,0.00733599066734314
NODE_10262_length_7228_cov_4.685766_1,head and packaging,0.99998176,
NODE_10262_length_7228_cov_4.685766_3,head and packaging,0.93544966,0.006373107433319092
NODE_1027_length_31460_cov_7.181563_16,"moron, auxiliary metabolic gene and host takeover",0.9761807,0.010542243719100952
NODE_1027_length_31460_cov_7.181563_18,unknown,0.8166907,
NODE_1027_length_31460_cov_7.181563_19,other,0.9700838,
NODE_1027_length_31460_cov_7.181563_2,tail,0.9998778,7.748603820800781e-06
NODE_1027_length_31460_cov_7.181563_20,"moron, auxiliary metabolic gene and host takeover",0.7822545,
NODE_1027_length_31460_cov_7.181563_21,unknown,0.7015063,
NODE_1027_length_31460_cov_7.181563_26,unknown,0.95250666,0.04247415438294411
NODE_1027_length_31460_cov_7.181563_27,"DNA, RNA and nucleotide metabolism",0.5381861,0.2427845150232315
NODE_1027_length_31460_cov_7.181563_33,unknown,0.97451323,0.009496242739260197
NODE_1027_length_31460_cov_7.181563_38,unknown,0.34288725,0.08382691442966461
NODE_1027_length_31460_cov_7.181563_5,unknown,0.5227465,0.1320350170135498
NODE_1027_length_31460_cov_7.181563_6,unknown,0.79283017,0.1462581604719162
NODE_1027_length_31460_cov_7.181563_7,unknown,0.97941667,
NODE_1027_length_31460_cov_7.181563_8,tail,0.99191225,
NODE_1028_length_17761_cov_7.977465_12,unknown,0.96247137,0.04647109657526016
NODE_1028_length_17761_cov_7.977465_13,unknown,0.6231427,0.09726891666650772
NODE_1028_length_17761_cov_7.977465_14,unknown,0.35576698,0.04434993490576744
NODE_1028_length_17761_cov_7.977465_2,unknown,0.94827104,0.0018408000469207764
NODE_1028_length_17761_cov_7.977465_7,unknown,0.9806246,0.01455723401159048
NODE_10302_length_4567_cov_2.128324_2,unknown,0.98915637,0.007038780488073826
NODE_10302_length_4567_cov_2.128324_4,unknown,0.53477186,
NODE_10302_length_4567_cov_2.128324_5,head and packaging,0.51838785,
NODE_10319_length_4545_cov_2.242984_1,unknown,0.8937446,
NODE_10319_length_4545_cov_2.242984_4,unknown,0.98942375,0.0006241500377655029
NODE_10319_length_4545_cov_2.242984_5,tail,0.80666125,
NODE_103576_length_1426_cov_1.828592_1,unknown,0.99284875,
NODE_10377_length_4191_cov_1.993472_1,tail,0.9860923,0.022445525974035263
NODE_10377_length_4191_cov_1.993472_3,unknown,0.98343605,
NODE_10377_length_4191_cov_1.993472_5,unknown,0.56730205,0.24687592685222626
NODE_10377_length_4191_cov_1.993472_6,head and packaging,0.9945635,0.007230264134705067
NODE_10377_length_4191_cov_1.993472_7,unknown,0.73340684,
NODE_1039_length_15440_cov_6.943321_11,"moron, auxiliary metabolic gene and host takeover",0.6388908,0.12412343174219131
NODE_1039_length_15440_cov_6.943321_8,unknown,0.9896656,0.0008442401885986328
NODE_1039_length_15440_cov_6.943321_9,unknown,0.98997605,0.0011179745197296143
NODE_10472_length_2998_cov_2.112810_3,unknown,0.854963,
NODE_1047_length_38009_cov_6.266164_1,"DNA, RNA and nucleotide metabolism",0.49503642,
NODE_1047_length_38009_cov_6.266164_17,tail,0.5682348,
NODE_1047_length_38009_cov_6.266164_18,unknown,0.8296041,
NODE_1047_length_38009_cov_6.266164_24,unknown,0.718191,
NODE_1047_length_38009_cov_6.266164_26,connector,0.97156096,
NODE_1047_length_38009_cov_6.266164_29,unknown,0.95343727,
NODE_1047_length_38009_cov_6.266164_31,unknown,0.81956947,
NODE_1047_length_38009_cov_6.266164_33,unknown,0.64301264,0.21546436846256256
NODE_1047_length_38009_cov_6.266164_34,unknown,0.98640037,
NODE_1047_length_38009_cov_6.266164_35,unknown,0.8773583,
NODE_1047_length_38009_cov_6.266164_36,unknown,0.9931238,
NODE_1047_length_38009_cov_6.266164_37,unknown,0.7968274,
NODE_1047_length_38009_cov_6.266164_38,head and packaging,0.5911278,
NODE_1047_length_38009_cov_6.266164_39,unknown,0.96697706,
NODE_1047_length_38009_cov_6.266164_6,unknown,0.98650146,5.960464477539063e-08
NODE_10484_length_11684_cov_8.440451_8,head and packaging,0.9999423,1.2796919691027142e-05
NODE_104_length_52774_cov_3.995523_1,lysis,0.5775409,
NODE_104_length_52774_cov_3.995523_11,unknown,0.42080736,
NODE_104_length_52774_cov_3.995523_12,unknown,0.9716051,
NODE_104_length_52774_cov_3.995523_16,unknown,0.407285,0.09884144365787506
NODE_104_length_52774_cov_3.995523_17,head and packaging,0.4560769,0.1397169828414917
NODE_104_length_52774_cov_3.995523_2,unknown,0.56433386,
NODE_104_length_52774_cov_3.995523_20,tail,0.7915773,0.2410859316587448
NODE_104_length_52774_cov_3.995523_22,unknown,0.9646611,0.02722761407494545
NODE_104_length_52774_cov_3.995523_3,tail,0.7175134,
NODE_104_length_52774_cov_3.995523_35,unknown,0.88318086,
NODE_104_length_52774_cov_3.995523_36,other,0.509325,
NODE_104_length_52774_cov_3.995523_37,"moron, auxiliary metabolic gene and host takeover",0.99646145,
NODE_104_length_52774_cov_3.995523_4,tail,0.49091583,
NODE_104_length_52774_cov_3.995523_5,tail,0.9694113,
NODE_104_length_52774_cov_3.995523_6,unknown,0.55625576,
NODE_104_length_52774_cov_3.995523_7,unknown,0.15323651,
NODE_104_length_52774_cov_3.995523_8,tail,0.93046486,
NODE_10514_length_11660_cov_2.897199_12,tail,0.9301108,
NODE_10514_length_11660_cov_2.897199_13,head and packaging,0.98343176,
NODE_10514_length_11660_cov_2.897199_6,unknown,0.98944646,
NODE_10514_length_11660_cov_2.897199_8,unknown,0.8522105,
NODE_10514_length_11660_cov_2.897199_9,unknown,0.61993015,
NODE_105465_length_1736_cov_3.939322_2,head and packaging,0.99698186,
NODE_10547_length_7146_cov_3.421943_3,unknown,0.9267545,
NODE_10547_length_7146_cov_3.421943_7,head and packaging,0.99554485,0.0037598013877868652
NODE_105_length_59125_cov_10.879262_1,unknown,0.96590644,5.960464477539063e-08
NODE_105_length_59125_cov_10.879262_13,unknown,0.9927141,0.006761473603546619
NODE_105_length_59125_cov_10.879262_17,head and packaging,0.9953399,0.00919948797672987
NODE_105_length_59125_cov_10.879262_18,"moron, auxiliary metabolic gene and host takeover",0.80760413,0.05658336728811264
NODE_105_length_59125_cov_10.879262_2,unknown,0.9801169,0.0008980181301012635
NODE_105_length_59125_cov_10.879262_22,unknown,0.9817366,0.005529921036213636
NODE_105_length_59125_cov_10.879262_26,unknown,0.98375064,0.004259973764419556
NODE_105_length_59125_cov_10.879262_27,unknown,0.95737916,0.06796827912330627
NODE_105_length_59125_cov_10.879262_28,unknown,0.97079533,2.2101993124579167e-07
NODE_105_length_59125_cov_10.879262_29,unknown,0.97883487,0.0029304679483175278
NODE_105_length_59125_cov_10.879262_30,unknown,0.9811862,0.0056215738877654076
NODE_105_length_59125_cov_10.879262_32,unknown,0.998345,0.0005489169852808118
NODE_105_length_59125_cov_10.879262_33,unknown,0.6726894,0.22595956921577454
NODE_105_length_59125_cov_10.879262_34,unknown,0.99073744,0.0014512698398903012
NODE_105_length_59125_cov_10.879262_35,unknown,0.9865694,0.0004214286745991558
NODE_105_length_59125_cov_10.879262_36,unknown,0.9588697,0.04066123440861702
NODE_105_length_59125_cov_10.879262_39,unknown,0.98300445,0.0009684954420663416
NODE_105_length_59125_cov_10.879262_41,unknown,0.99603045,0.00013087991101201624
NODE_105_length_59125_cov_10.879262_43,unknown,0.6840507,0.08586883544921875
NODE_105_length_59125_cov_10.879262_44,unknown,0.944172,0.006523291114717722
NODE_105_length_59125_cov_10.879262_45,unknown,0.98368055,0.008455093950033188
NODE_105_length_59125_cov_10.879262_46,unknown,0.91309625,8.429369557916289e-08
NODE_105_length_59125_cov_10.879262_47,unknown,0.99877,0.0001061031362041831
NODE_105_length_59125_cov_10.879262_48,unknown,0.9461477,0.0007552310125902295
NODE_105_length_59125_cov_10.879262_49,unknown,0.98508394,0.0021340642124414444
NODE_105_length_59125_cov_10.879262_50,unknown,0.9922413,0.002453082473948598
NODE_105_length_59125_cov_10.879262_51,unknown,0.9550553,0.05210428684949875
NODE_105_length_59125_cov_10.879262_52,unknown,0.7591432,0.1211240366101265
NODE_105_length_59125_cov_10.879262_53,unknown,0.99578196,0.0002574762620497495
NODE_105_length_59125_cov_10.879262_54,unknown,0.9644097,0.010751682333648205
NODE_105_length_59125_cov_10.879262_55,unknown,0.9907023,0.000467772624688223
NODE_105_length_59125_cov_10.879262_57,unknown,0.9690778,0.008015009574592113
NODE_105_length_59125_cov_10.879262_58,"moron, auxiliary metabolic gene and host takeover",0.810504,0.1259782314300537
NODE_105_length_59125_cov_10.879262_59,unknown,0.9933111,0.002340892096981406
NODE_105_length_59125_cov_10.879262_61,unknown,0.0809455,0.008673354052007198
NODE_105_length_59125_cov_10.879262_62,head and packaging,0.54352754,0.09865816682577133
NODE_105_length_59125_cov_10.879262_63,unknown,0.99556464,0.0023696364369243383
NODE_105_length_59125_cov_10.879262_66,unknown,0.9825263,0.00010052027937490493
NODE_105_length_59125_cov_10.879262_67,unknown,0.42582598,0.04064857214689255
NODE_105_length_59125_cov_10.879262_68,unknown,0.99958664,
NODE_105_length_76158_cov_5.381601_1,unknown,0.97595745,
NODE_105_length_76158_cov_5.381601_10,"DNA, RNA and nucleotide metabolism",0.9276131,
NODE_105_length_76158_cov_5.381601_11,unknown,0.70852625,0.23984888195991516
NODE_105_length_76158_cov_5.381601_12,unknown,0.95989233,0.008684694766998291
NODE_105_length_76158_cov_5.381601_13,transcription regulation,0.4989423,0.12498059868812561
NODE_105_length_76158_cov_5.381601_14,unknown,0.9928192,0.0008356273174285889
NODE_105_length_76158_cov_5.381601_15,other,0.91182584,0.05969530716538429
NODE_105_length_76158_cov_5.381601_16,"DNA, RNA and nucleotide metabolism",0.82164854,0.06507405638694763
NODE_105_length_76158_cov_5.381601_17,unknown,0.847738,0.023984700441360474
NODE_105_length_76158_cov_5.381601_2,other,0.9962907,
NODE_105_length_76158_cov_5.381601_20,"DNA, RNA and nucleotide metabolism",0.9969342,0.00017529726028442383
NODE_105_length_76158_cov_5.381601_21,other,0.99125844,0.005836069583892822
NODE_105_length_76158_cov_5.381601_24,unknown,0.99458176,0.0033899545669555664
NODE_105_length_76158_cov_5.381601_25,"DNA, RNA and nucleotide metabolism",0.99557924,0.00037348270416259766
NODE_105_length_76158_cov_5.381601_26,"DNA, RNA and nucleotide metabolism",0.9976119,0.0004378855228424072
NODE_105_length_76158_cov_5.381601_27,"DNA, RNA and nucleotide metabolism",0.9999035,6.735324859619141e-06
NODE_105_length_76158_cov_5.381601_29,other,0.6117152,0.08917465806007385
NODE_105_length_76158_cov_5.381601_3,unknown,0.96689415,2.0712635887321085e-05
NODE_105_length_76158_cov_5.381601_30,unknown,0.99880934,0.0005826056003570557
NODE_105_length_76158_cov_5.381601_31,other,0.661937,0.08507099747657776
NODE_105_length_76158_cov_5.381601_32,unknown,0.99779254,0.0009434223175048828
NODE_105_length_76158_cov_5.381601_33,unknown,0.98631614,0.004064798355102539
NODE_105_length_76158_cov_5.381601_34,"DNA, RNA and nucleotide metabolism",0.9805139,0.0029393434524536133
NODE_105_length_76158_cov_5.381601_35,"DNA, RNA and nucleotide metabolism",0.99950254,2.8222815672052093e-05
NODE_105_length_76158_cov_5.381601_37,unknown,0.9421042,0.02215316891670227
NODE_105_length_76158_cov_5.381601_38,unknown,0.5322436,0.008233398199081421
NODE_105_length_76158_cov_5.381601_39,tail,0.47210187,0.039450109004974365
NODE_105_length_76158_cov_5.381601_4,"moron, auxiliary metabolic gene and host takeover",0.977782,0.0075401365756988525
NODE_105_length_76158_cov_5.381601_40,unknown,0.37941793,0.12590786814689636
NODE_105_length_76158_cov_5.381601_41,unknown,0.50664866,0.052919209003448486
NODE_105_length_76158_cov_5.381601_42,tail,0.9984354,0.000140458345413208
NODE_105_length_76158_cov_5.381601_45,unknown,0.6639236,0.00638619065284729
NODE_105_length_76158_cov_5.381601_46,tail,0.970276,0.0121840238571167
NODE_105_length_76158_cov_5.381601_47,tail,0.99914825,2.798439709295053e-05
NODE_105_length_76158_cov_5.381601_49,unknown,0.2870738,0.057897746562957764
NODE_105_length_76158_cov_5.381601_5,unknown,0.86290663,
NODE_105_length_76158_cov_5.381601_50,unknown,0.07613822,0.03071671538054943
NODE_105_length_76158_cov_5.381601_51,unknown,0.7837343,0.12842920422554016
NODE_105_length_76158_cov_5.381601_52,unknown,0.71821594,0.02294549159705639
NODE_105_length_76158_cov_5.381601_55,unknown,0.8758324,0.007166208699345589
NODE_105_length_76158_cov_5.381601_56,unknown,0.9359317,0.023036491125822067
NODE_105_length_76158_cov_5.381601_57,tail,0.73118544,
NODE_105_length_76158_cov_5.381601_58,tail,0.8975557,0.08852145075798035
NODE_105_length_76158_cov_5.381601_59,unknown,0.9790317,0.0046763308346271515
NODE_105_length_76158_cov_5.381601_6,other,0.9992372,
NODE_105_length_76158_cov_5.381601_7,"DNA, RNA and nucleotide metabolism",0.9982742,0.0005143284797668457
NODE_106052_length_1879_cov_2.161184_2,unknown,0.94063634,0.0038172805216163397
NODE_106052_length_1879_cov_2.161184_3,unknown,0.7820116,
NODE_10626_length_8699_cov_14.477094_2,head and packaging,0.9951546,0.004462061449885368
NODE_10626_length_8699_cov_14.477094_3,head and packaging,0.99999946,4.698678424119862e-07
NODE_10626_length_8699_cov_14.477094_5,head and packaging,0.6209068,
NODE_1062_length_18074_cov_3.786614_12,unknown,0.9915924,
NODE_1062_length_18074_cov_3.786614_18,unknown,0.96734357,
NODE_1062_length_18074_cov_3.786614_3,tail,0.98313636,
NODE_10640_length_9186_cov_2.558099_7,unknown,0.9926481,
NODE_10640_length_9186_cov_2.558099_8,unknown,0.8079617,
NODE_106750_length_1870_cov_1.813223_2,unknown,0.9600412,0.07546106725931168
NODE_1067_length_20482_cov_3.015666_1,unknown,0.83944714,0.05636557936668396
NODE_1067_length_20482_cov_3.015666_10,"moron, auxiliary metabolic gene and host takeover",0.9193904,
NODE_1067_length_20482_cov_3.015666_11,unknown,0.6584936,0.09116604924201965
NODE_1067_length_20482_cov_3.015666_13,unknown,0.6771924,0.23144452273845673
NODE_1067_length_20482_cov_3.015666_14,unknown,0.98370314,
NODE_1067_length_20482_cov_3.015666_17,tail,0.7759614,
NODE_1067_length_20482_cov_3.015666_6,tail,0.8753128,0.0023182604927569628
NODE_1067_length_20482_cov_3.015666_7,head and packaging,0.8427798,
NODE_10712_length_7516_cov_3.757271_1,tail,0.9988034,
NODE_10712_length_7516_cov_3.757271_2,unknown,0.888834,0.08398330211639404
NODE_10712_length_7516_cov_3.757271_6,unknown,0.595848,0.2382405549287796
NODE_10724_length_4775_cov_7.027119_3,head and packaging,0.97791564,0.02849407121539116
NODE_107413_length_1460_cov_2.392883_2,unknown,0.978877,
NODE_10741_length_11445_cov_3.317296_1,head and packaging,0.5086241,
NODE_10741_length_11445_cov_3.317296_10,unknown,0.8677274,0.05464483052492142
NODE_10741_length_11445_cov_3.317296_13,tail,0.84633315,
NODE_10741_length_11445_cov_3.317296_2,head and packaging,0.92855966,
NODE_10741_length_11445_cov_3.317296_3,unknown,0.2763472,
